feature_id,correct_answer,n_prompts,n_nonzero,mean_effect,mean_abs_effect,max_abs_effect,sfr,n_flip,layer,community,grad_attr_sign,role_label
L23_F1264,electron,80,78,-0.109375,0.535546875,2.140625,0.0,0,,,,
L23_F1264,neutron,135,135,-1.0920138888888888,1.1503472222222222,3.9375,0.014814814814814815,2,,,,
L23_F1264,photon,152,152,-1.2250205592105263,1.3251439144736843,4.1875,0.03289473684210526,5,,,,
L23_F1264,proton,80,78,-0.1265625,0.46328125,1.5,0.0125,1,,,,
L23_F157706,electron,80,77,-0.107421875,0.541796875,2.125,0.0,0,,,,
L23_F157706,neutron,135,135,-1.0574074074074074,1.1157407407407407,3.8125,0.014814814814814815,2,,,,
L23_F157706,photon,152,150,-1.1639597039473684,1.302528782894737,4.0625,0.03289473684210526,5,,,,
L23_F157706,proton,80,79,-0.1533203125,0.4806640625,1.46875,0.0125,1,,,,
L23_F29730,electron,80,75,-0.1765625,0.53359375,2.03125,0.0,0,23.0,2.0,1.0,α-attr
L23_F29730,neutron,135,135,-1.107175925925926,1.157175925925926,3.9375,0.014814814814814815,2,23.0,2.0,1.0,α-attr
L23_F29730,photon,152,152,-1.2646998355263157,1.3658511513157894,4.0625,0.03289473684210526,5,23.0,2.0,1.0,α-attr
L23_F29730,proton,80,78,-0.1208984375,0.4697265625,1.34375,0.0125,1,23.0,2.0,1.0,α-attr
L23_F71325,electron,80,78,-0.13125,0.509765625,1.9375,0.0,0,,,,
L23_F71325,neutron,135,133,-0.9980324074074074,1.0540509259259259,3.703125,0.014814814814814815,2,,,,
L23_F71325,photon,152,152,-1.2197779605263157,1.3250411184210527,4.1875,0.03289473684210526,5,,,,
L23_F71325,proton,80,77,-0.16796875,0.47890625,1.4375,0.0125,1,,,,
L24_F104198,electron,80,80,-1.81171875,1.812890625,4.65625,0.0125,1,,,,
L24_F104198,neutron,135,133,-1.7831018518518518,1.8298611111111112,7.9375,0.007407407407407408,1,,,,
L24_F104198,photon,152,151,-1.5,1.5185032894736843,7.0,0.03289473684210526,5,,,,
L24_F104198,proton,80,80,-1.11875,1.185546875,3.09375,0.0,0,,,,
L24_F143388,electron,80,80,-1.9060546875,1.9072265625,4.5625,0.0125,1,,,,
L24_F143388,neutron,135,134,-1.8479166666666667,1.8833333333333333,7.9375,0.007407407407407408,1,,,,
L24_F143388,photon,152,151,-1.4444901315789473,1.466282894736842,6.375,0.03289473684210526,5,,,,
L24_F143388,proton,80,80,-1.143359375,1.20625,3.21875,0.0,0,,,,
L24_F153576,electron,80,80,-1.8462890625,1.8509765625,4.625,0.0125,1,24.0,2.0,1.0,α-attr
L24_F153576,neutron,135,134,-1.8755787037037037,1.9126157407407407,7.875,0.007407407407407408,1,24.0,2.0,1.0,α-attr
