cluster,prompt_idx,correct_answer,filter_property,wording_family,nd_baseline,nd_ablated,delta_nd,abs_delta_nd,sign_flip
1,318,photon,em_quantum,F1_direct_implicit,6.9131340980529785,-0.6270866394042969,-7.540220737457275,7.540220737457275,True
1,30,proton,positive_charge_atomic,F2_contextual_implicit,6.950613021850586,5.251489639282227,-1.6991233825683594,1.6991233825683594,False
1,106,neutron,neutral_charge_atomic,F4_contrast_implicit,11.575380325317383,2.2505321502685547,-9.324848175048828,9.324848175048828,False
1,42,electron,negative_charge_atomic,F3_process_implicit,9.422890663146973,2.765864372253418,-6.657026290893555,6.657026290893555,False
1,381,neutron,neutral_charge_atomic,F2_contextual_implicit,6.245100975036621,2.0898523330688477,-4.155248641967773,4.155248641967773,False
1,294,photon,massless_em_mediator,F3_process_implicit,6.348578929901123,0.4244985580444336,-5.9240803718566895,5.9240803718566895,False
1,17,photon,em_quantum,F3_process_implicit,2.0338540077209473,-0.971440315246582,-3.0052943229675293,3.0052943229675293,True
1,303,neutron,neutral_charge_atomic,F3_process_implicit,5.992436408996582,-0.5050058364868164,-6.497442245483398,6.497442245483398,True
1,273,neutron,neutral_charge_atomic,F1_direct_implicit,9.55502700805664,1.1216602325439453,-8.433366775512695,8.433366775512695,False
1,190,neutron,nuclear_stability_provider,F2_contextual_implicit,6.386948108673096,-0.7176904678344727,-7.104638576507568,7.104638576507568,True
1,329,photon,em_quantum,F2_contextual_implicit,4.773547649383545,-0.7724285125732422,-5.545976161956787,5.545976161956787,True
1,77,photon,em_quantum,F3_process_implicit,1.7706809043884277,0.45941638946533203,-1.3112645149230957,1.3112645149230957,False
1,145,photon,em_quantum,F4_contrast_implicit,5.520802021026611,-0.9959936141967773,-6.516795635223389,6.516795635223389,True
1,24,electron,negative_charge_atomic,F2_contextual_implicit,6.285321235656738,0.9714517593383789,-5.313869476318359,5.313869476318359,False
1,33,proton,positive_charge_atomic,F1_direct_implicit,7.407322406768799,1.7151622772216797,-5.692160129547119,5.692160129547119,False
1,184,neutron,neutral_charge_atomic,F4_contrast_implicit,12.577644348144531,3.0109801292419434,-9.566664218902588,9.566664218902588,False
1,350,photon,em_quantum,F4_contrast_implicit,6.851618766784668,0.7171392440795898,-6.134479522705078,6.134479522705078,False
1,154,neutron,neutral_charge_atomic,F2_contextual_implicit,9.6080322265625,2.867828845977783,-6.740203380584717,6.740203380584717,False
1,135,proton,positive_charge_atomic,F3_process_implicit,4.374845504760742,1.492940902709961,-2.8819046020507812,2.8819046020507812,False
1,353,proton,positive_charge_atomic,F1_direct_implicit,6.467883586883545,1.931640625,-4.536242961883545,4.536242961883545,False
1,244,proton,positive_charge_atomic,F2_contextual_implicit,3.062570571899414,1.0341711044311523,-2.0283994674682617,2.0283994674682617,False
1,268,proton,positive_charge_atomic,F4_contrast_implicit,2.1524438858032227,1.0845708847045898,-1.0678730010986328,1.0678730010986328,False
1,195,photon,massless_em_mediator,F2_contextual_implicit,5.000700950622559,-0.8604021072387695,-5.861103057861328,5.861103057861328,True
1,290,neutron,neutral_charge_atomic,F4_contrast_implicit,4.4724884033203125,0.2421274185180664,-4.230360984802246,4.230360984802246,False
1,169,electron,negative_charge_atomic,F2_contextual_implicit,6.061308860778809,-0.5706415176391602,-6.631950378417969,6.631950378417969,True
1,138,neutron,neutral_charge_atomic,F1_direct_implicit,11.051237106323242,2.0120534896850586,-9.039183616638184,9.039183616638184,False
1,304,electron,negative_charge_atomic,F2_contextual_implicit,5.03150749206543,1.5099859237670898,-3.52152156829834,3.52152156829834,False
1,54,electron,negative_charge_atomic,F2_contextual_implicit,7.50752067565918,1.8638801574707031,-5.643640518188477,5.643640518188477,False
1,289,proton,positive_charge_atomic,F1_direct_implicit,6.3106584548950195,2.097240924835205,-4.2134175300598145,4.2134175300598145,False
1,140,electron,negative_charge_atomic,F3_process_implicit,7.663926124572754,1.1880455017089844,-6.4758806228637695,6.4758806228637695,False
1,31,electron,negative_charge_atomic,F1_direct_implicit,7.396416664123535,-0.1130685806274414,-7.509485244750977,7.509485244750977,True
1,425,neutron,nuclear_stability_provider,F2_contextual_implicit,3.098389148712158,1.749739646911621,-1.348649501800537,1.348649501800537,False
1,165,photon,massless_em_mediator,F4_contrast_implicit,7.2028889656066895,1.5080251693725586,-5.694863796234131,5.694863796234131,False
1,358,photon,em_quantum,F3_process_implicit,6.532500267028809,0.19941329956054688,-6.333086967468262,6.333086967468262,False
2,428,electron,negative_charge_atomic,F3_process_implicit,7.757148742675781,2.157989501953125,-5.599159240722656,5.599159240722656,False
2,402,photon,massless_em_mediator,F2_contextual_implicit,3.736097812652588,-2.1244258880615234,-5.860523700714111,5.860523700714111,True
2,286,photon,massless_em_mediator,F2_contextual_implicit,6.036512851715088,-1.1807546615600586,-7.2172675132751465,7.2172675132751465,True
2,187,neutron,neutral_charge_atomic,F1_direct_implicit,6.587135314941406,1.4089584350585938,-5.1781768798828125,5.1781768798828125,False
