cluster,prompt_idx,correct_answer,filter_property,nd_baseline,nd_steered,delta_nd,steering_coeff
1,304,electron,negative_charge_atomic,5.03150749206543,1.4465761184692383,-3.5849313735961914,5.0
1,70,proton,positive_charge_atomic,2.329678535461426,3.1464309692382812,0.8167524337768555,5.0
1,160,electron,negative_charge_atomic,7.377712726593018,1.408907413482666,-5.968805313110352,5.0
1,58,photon,massless_em_mediator,4.7458648681640625,-1.6738805770874023,-6.419745445251465,5.0
1,345,neutron,nuclear_stability_provider,7.6475830078125,0.9587650299072266,-6.688817977905273,5.0
1,376,electron,negative_charge_atomic,4.905244827270508,1.4953193664550781,-3.4099254608154297,5.0
1,47,photon,massless_em_mediator,5.6513566970825195,-2.3977718353271484,-8.049128532409668,5.0
1,280,photon,em_quantum,3.692582607269287,-1.673147201538086,-5.365729808807373,5.0
1,36,neutron,nuclear_stability_provider,5.495974063873291,-0.9958782196044922,-6.491852283477783,5.0
1,395,neutron,neutral_charge_atomic,5.631187438964844,-0.02290630340576172,-5.6540937423706055,5.0
1,317,neutron,neutral_charge_atomic,8.434223175048828,3.827334403991699,-4.606888771057129,5.0
1,207,neutron,nuclear_stability_provider,9.71934700012207,-0.40770721435546875,-10.127054214477539,5.0
1,117,electron,negative_charge_atomic,3.1520423889160156,1.1324787139892578,-2.019563674926758,5.0
1,213,photon,em_quantum,7.144039630889893,-0.16016387939453125,-7.304203510284424,5.0
1,353,proton,positive_charge_atomic,6.467883586883545,3.018071174621582,-3.449812412261963,5.0
1,175,neutron,nuclear_stability_provider,9.225187301635742,1.531463623046875,-7.693723678588867,5.0
1,441,proton,positive_charge_atomic,4.969386100769043,2.8346986770629883,-2.1346874237060547,5.0
1,137,proton,positive_charge_atomic,2.9057178497314453,1.0400934219360352,-1.8656244277954102,5.0
1,177,photon,em_quantum,3.4672775268554688,0.9059610366821289,-2.56131649017334,5.0
1,42,electron,negative_charge_atomic,9.422890663146973,2.9232664108276367,-6.499624252319336,5.0
1,122,photon,em_quantum,5.724333763122559,-2.0610084533691406,-7.785342216491699,5.0
1,188,photon,massless_em_mediator,5.276698589324951,-2.7363386154174805,-8.013037204742432,5.0
1,54,electron,negative_charge_atomic,7.50752067565918,2.212752342224121,-5.294768333435059,5.0
1,1,electron,negative_charge_atomic,4.9143571853637695,0.9600362777709961,-3.9543209075927734,5.0
1,153,neutron,neutral_charge_atomic,6.354726314544678,-1.683415412902832,-8.03814172744751,5.0
2,210,neutron,nuclear_stability_provider,3.095468044281006,0.5062313079833984,-2.5892367362976074,5.0
2,239,neutron,neutral_charge_atomic,9.308439254760742,1.6608076095581055,-7.647631645202637,5.0
2,306,photon,massless_em_mediator,5.943663120269775,0.6753864288330078,-5.268276691436768,5.0
2,32,electron,negative_charge_atomic,4.418544769287109,0.25570201873779297,-4.162842750549316,5.0
2,227,photon,massless_em_mediator,1.6001920700073242,0.46091556549072266,-1.1392765045166016,5.0
2,139,electron,negative_charge_atomic,7.335737228393555,2.26578426361084,-5.069952964782715,5.0
2,292,photon,massless_em_mediator,8.8585205078125,1.4100751876831055,-7.4484453201293945,5.0
2,140,electron,negative_charge_atomic,7.663926124572754,2.208475112915039,-5.455451011657715,5.0
2,364,proton,positive_charge_atomic,6.3950958251953125,1.9304695129394531,-4.464626312255859,5.0
2,301,neutron,nuclear_stability_provider,8.724493980407715,-0.020053863525390625,-8.744547843933105,5.0
2,182,neutron,nuclear_stability_provider,11.893516540527344,-1.4901618957519531,-13.383678436279297,5.0
2,271,electron,negative_charge_atomic,6.692653179168701,2.0196962356567383,-4.672956943511963,5.0
2,49,photon,em_quantum,6.699645519256592,-0.019018173217773438,-6.718663692474365,5.0
2,165,photon,massless_em_mediator,7.2028889656066895,1.1027545928955078,-6.100134372711182,5.0
2,209,neutron,nuclear_stability_provider,3.5195016860961914,0.9320650100708008,-2.5874366760253906,5.0
2,366,photon,em_quantum,6.864108562469482,1.5431890487670898,-5.320919513702393,5.0
2,15,neutron,neutral_charge_atomic,4.923307418823242,-0.4962806701660156,-5.419588088989258,5.0
2,104,electron,negative_charge_atomic,4.782195568084717,1.9314680099487305,-2.8507275581359863,5.0
2,14,neutron,nuclear_stability_provider,10.304678916931152,-0.2797832489013672,-10.58446216583252,5.0
2,7,electron,negative_charge_atomic,5.830833435058594,-0.588165283203125,-6.418998718261719,5.0
2,237,proton,positive_charge_atomic,5.94530725479126,-2.2616796493530273,-8.206986904144287,5.0
2,420,photon,em_quantum,0.5153980255126953,-0.07402515411376953,-0.5894231796264648,5.0
2,288,photon,em_quantum,6.338042259216309,-0.7242345809936523,-7.062276840209961,5.0
2,372,photon,massless_em_mediator,6.511629581451416,-1.108351707458496,-7.619981288909912,5.0
2,5,photon,em_quantum,3.6891326904296875,0.2547588348388672,-3.4343738555908203,5.0
2,321,proton,positive_charge_atomic,3.277252674102783,-0.2462167739868164,-3.5234694480895996,5.0
2,51,proton,positive_charge_atomic,7.992820739746094,1.8132753372192383,-6.1795454025268555,5.0
2,396,neutron,neutral_charge_atomic,10.24449348449707,4.948307991027832,-5.296185493469238,5.0
2,230,neutron,nuclear_stability_provider,13.336688995361328,0.2560291290283203,-13.080659866333008,5.0
2,187,neutron,neutral_charge_atomic,6.587135314941406,1.2726211547851562,-5.31451416015625,5.0
2,103,proton,positive_charge_atomic,5.59808349609375,0.0914907455444336,-5.506592750549316,5.0
2,226,photon,massless_em_mediator,4.191532611846924,0.7994251251220703,-3.3921074867248535,5.0
2,352,neutron,nuclear_stability_provider,6.511344909667969,1.181009292602539,-5.33033561706543,5.0
2,40,proton,positive_charge_atomic,3.8210160732269287,-0.8109865188598633,-4.632002592086792,5.0
2,388,electron,negative_charge_atomic,6.6477508544921875,0.14439010620117188,-6.503360748291016,5.0
2,173,photon,em_quantum,6.014272689819336,-0.9119510650634766,-6.9262237548828125,5.0
2,446,photon,em_quantum,1.0662431716918945,-0.3975639343261719,-1.4638071060180664,5.0
2,231,photon,em_quantum,8.320059776306152,1.3098335266113281,-7.010226249694824,5.0
2,95,neutron,nuclear_stability_provider,5.70802116394043,5.213252067565918,-0.4947690963745117,5.0
2,159,photon,em_quantum,5.544009208679199,0.9208498001098633,-4.623159408569336,5.0
2,99,neutron,neutral_charge_atomic,9.382543563842773,3.5705461502075195,-5.811997413635254,5.0
2,97,neutron,neutral_charge_atomic,5.381625175476074,0.6746072769165039,-4.70701789855957,5.0
2,290,neutron,neutral_charge_atomic,4.4724884033203125,1.7774839401245117,-2.695004463195801,5.0
2,233,photon,em_quantum,5.043202877044678,0.5546169281005859,-4.488585948944092,5.0
2,344,photon,massless_em_mediator,3.09414005279541,0.01794147491455078,-3.0761985778808594,5.0
2,114,neutron,neutral_charge_atomic,10.5777587890625,1.6266183853149414,-8.951140403747559,5.0
2,154,neutron,neutral_charge_atomic,9.6080322265625,3.469468116760254,-6.138564109802246,5.0
2,330,neutron,neutral_charge_atomic,9.732321739196777,3.5095529556274414,-6.222768783569336,5.0
2,129,electron,negative_charge_atomic,7.805719375610352,2.188405990600586,-5.617313385009766,5.0
2,143,electron,negative_charge_atomic,9.323150634765625,3.8512821197509766,-5.471868515014648,5.0
2,381,neutron,neutral_charge_atomic,6.245100975036621,1.662149429321289,-4.582951545715332,5.0
2,432,photon,em_quantum,6.171609401702881,0.4504833221435547,-5.721126079559326,5.0
2,275,neutron,nuclear_stability_provider,8.71495246887207,2.5404953956604004,-6.17445707321167,5.0
2,203,electron,negative_charge_atomic,8.828190803527832,1.2626657485961914,-7.565525054931641,5.0
2,18,neutron,nuclear_stability_provider,8.582381248474121,-1.0445623397827148,-9.626943588256836,5.0
2,392,electron,negative_charge_atomic,7.321447372436523,3.375345230102539,-3.9461021423339844,5.0
2,254,neutron,nuclear_stability_provider,10.739198684692383,1.4868850708007812,-9.252313613891602,5.0
2,347,proton,positive_charge_atomic,3.710710048675537,0.09669208526611328,-3.614017963409424,5.0
2,297,electron,negative_charge_atomic,6.509035110473633,0.5703296661376953,-5.9387054443359375,5.0
2,178,neutron,neutral_charge_atomic,7.117734909057617,2.5617752075195312,-4.555959701538086,5.0
