experiment_type,layer,feature_id,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n
ablation_zero,17,110833,0.66943359375,0.5,0.5268701424678136,0.4422200520833333,0.390625,976562.8905758756,3.0618489583333335,3.5040690104166665,0.020833333333333332,96
ablation_zero,17,111317,0.6879345402121544,0.4496595859527588,0.9069765171651961,0.40492962052424747,0.2581827640533447,0.3335322732214836,3.6280958354473114,4.033025455971559,0.041666666666666664,96
ablation_zero,18,152973,0.4436848958333333,0.34375,0.36323710765108497,-0.032877604166666664,-0.046875,325521.08722896146,3.0618489583333335,3.0289713541666665,0.03125,96
ablation_zero,19,27199,0.5358072916666666,0.375,0.4287417322805229,0.10221354166666667,0.0625,846354.4893440126,3.0618489583333335,3.1640625,0.020833333333333332,96
ablation_zero,19,29102,0.53515625,0.375,0.4224928467940082,0.07747395833333333,0.0625,911458.6533533203,3.0618489583333335,3.1393229166666665,0.020833333333333332,96
ablation_zero,19,114972,0.5753091983497143,0.41191911697387695,0.5339236545137003,-0.17410704617698988,-0.16617965698242185,0.3525750782565617,3.6280958354473114,3.4539887892703214,0.020833333333333332,96
ablation_zero,19,123748,0.5377604166666666,0.40625,0.4229953852502204,0.09440104166666667,0.0625,846354.4883723161,3.0618489583333335,3.15625,0.020833333333333332,96
ablation_zero,19,135640,0.5074869791666666,0.375,0.43343375377053955,0.12727864583333334,0.0625,846354.4781583104,3.0618489583333335,3.1891276041666665,0.020833333333333332,96
ablation_zero,20,98282,0.6588541666666666,0.5625,0.4928282257417072,-0.5071614583333334,-0.484375,716146.1637890354,3.0618489583333335,2.5546875,0.0625,96
ablation_zero,20,145235,0.6595052083333334,0.5,0.4854424605845446,-0.5052083333333334,-0.46875,716146.1482632253,3.0618489583333335,2.556640625,0.041666666666666664,96
ablation_zero,21,129759,0.537109375,0.46875,0.4004857376600058,-0.216796875,-0.234375,390625.2940253538,3.0618489583333335,2.8450520833333335,0.020833333333333332,96
ablation_zero,21,145615,0.5377604166666666,0.484375,0.4169249473615798,-0.22330729166666666,-0.1875,325521.1301390698,3.0618489583333335,2.8385416666666665,0.020833333333333332,96
ablation_zero,22,41906,0.99609375,0.78125,0.7298027457452928,-0.7610677083333334,-0.6875,390625.514585125,3.0618489583333335,2.30078125,0.09375,96
ablation_zero,22,99330,0.9739583333333334,0.78125,0.7249187038509785,-0.7259114583333334,-0.640625,325521.32203686825,3.0618489583333335,2.3359375,0.08333333333333333,96
ablation_zero,22,145377,0.9342447916666666,0.734375,0.7251003668995424,-0.68359375,-0.578125,325521.3128306317,3.0618489583333335,2.3782552083333335,0.08333333333333333,96
ablation_zero,23,5853,1.1852213541666667,0.96875,0.9878813886224237,-0.6995442708333334,-0.59375,1236980.1293828252,3.0618489583333335,2.3623046875,0.11458333333333333,96
