prompt_idx,feature_id,layer,zone,contribution_to_correct,effect_size,data_source
25,L25_F54011,25,late,6.561160087585449,-6.561160087585449,ablation_zero
25,L25_F90133,25,late,6.375,-6.375,ablation_zero
26,L13_F63127,13,early,,,none
26,L14_F129011,14,early,,,none
26,L15_F127839,15,early,0.34375,-0.34375,ablation_zero
26,L16_F45664,16,early,0.1988911628723144,-0.1988911628723144,ablation_zero
26,L16_F76227,16,early,,,none
26,L17_F111317,17,mid,-0.1167535781860351,0.1167535781860351,ablation_zero
26,L17_F51924,17,mid,,,none
26,L18_F149556,18,mid,-0.375,0.375,ablation_zero
26,L18_F27853,18,mid,,,none
26,L19_F29102,19,mid,,,none
26,L20_F36426,20,mid,,,none
26,L21_F54492,21,mid,,,none
26,L22_F32734,22,mid,,,none
26,L22_F78043,22,mid,-0.90625,0.90625,ablation_zero
26,L23_F40170,23,late,-0.3125,0.3125,ablation_zero
26,L23_F6889,23,late,-0.1875,0.1875,ablation_zero
26,L24_F35447,24,late,0.1875,-0.1875,ablation_zero
26,L25_F43384,25,late,0.671875,-0.671875,ablation_zero
26,L25_F54011,25,late,0.7686564922332764,-0.7686564922332764,ablation_zero
26,L25_F90133,25,late,0.375,-0.375,ablation_zero
27,L13_F63127,13,early,,,none
27,L14_F129011,14,early,,,none
27,L15_F127839,15,early,0.875,-0.875,ablation_zero
27,L16_F45664,16,early,0.0833063125610351,-0.0833063125610351,ablation_zero
27,L16_F76227,16,early,,,none
27,L17_F111317,17,mid,-0.1874494552612304,0.1874494552612304,ablation_zero
27,L17_F51924,17,mid,,,none
27,L18_F149556,18,mid,0.125,-0.125,ablation_zero
27,L18_F27853,18,mid,,,none
27,L19_F29102,19,mid,,,none
27,L20_F36426,20,mid,,,none
27,L21_F54492,21,mid,,,none
27,L22_F32734,22,mid,,,none
27,L22_F78043,22,mid,0.5625,-0.5625,ablation_zero
27,L23_F40170,23,late,0.4375,-0.4375,ablation_zero
27,L23_F6889,23,late,0.75,-0.75,ablation_zero
27,L24_F35447,24,late,0.75,-0.75,ablation_zero
27,L25_F43384,25,late,2.15625,-2.15625,ablation_zero
27,L25_F54011,25,late,2.265055656433105,-2.265055656433105,ablation_zero
27,L25_F90133,25,late,1.9375,-1.9375,ablation_zero
28,L13_F63127,13,early,,,none
28,L14_F129011,14,early,,,none
28,L15_F127839,15,early,0.8125,-0.8125,ablation_zero
28,L16_F45664,16,early,1.36338472366333,-1.36338472366333,ablation_zero
28,L16_F76227,16,early,,,none
28,L17_F111317,17,mid,-0.2931804656982422,0.2931804656982422,ablation_zero
28,L17_F51924,17,mid,,,none
28,L18_F149556,18,mid,-0.9375,0.9375,ablation_zero
28,L18_F27853,18,mid,,,none
28,L19_F29102,19,mid,,,none
28,L20_F36426,20,mid,,,none
28,L21_F54492,21,mid,,,none
28,L22_F32734,22,mid,,,none
28,L22_F78043,22,mid,0.1875,-0.1875,ablation_zero
28,L23_F40170,23,late,0.9375,-0.9375,ablation_zero
28,L23_F6889,23,late,1.28125,-1.28125,ablation_zero
28,L24_F35447,24,late,1.59375,-1.59375,ablation_zero
28,L25_F43384,25,late,2.0,-2.0,ablation_zero
28,L25_F54011,25,late,1.902531623840332,-1.902531623840332,ablation_zero
28,L25_F90133,25,late,1.8125,-1.8125,ablation_zero
29,L13_F63127,13,early,,,none
29,L14_F129011,14,early,,,none
29,L15_F127839,15,early,0.09375,-0.09375,ablation_zero
29,L16_F45664,16,early,-0.6186437606811523,0.6186437606811523,ablation_zero
29,L16_F76227,16,early,,,none
29,L17_F111317,17,mid,-0.4709382057189941,0.4709382057189941,ablation_zero
29,L17_F51924,17,mid,,,none
29,L18_F149556,18,mid,0.0625,-0.0625,ablation_zero
29,L18_F27853,18,mid,,,none
29,L19_F29102,19,mid,,,none
29,L20_F36426,20,mid,,,none
29,L21_F54492,21,mid,,,none
29,L22_F32734,22,mid,,,none
29,L22_F78043,22,mid,1.28125,-1.28125,ablation_zero
29,L23_F40170,23,late,0.40625,-0.40625,ablation_zero
29,L23_F6889,23,late,0.5,-0.5,ablation_zero
29,L24_F35447,24,late,0.28125,-0.28125,ablation_zero
29,L25_F43384,25,late,0.78125,-0.78125,ablation_zero
29,L25_F54011,25,late,0.8968868255615234,-0.8968868255615234,ablation_zero
29,L25_F90133,25,late,0.71875,-0.71875,ablation_zero
30,L13_F63127,13,early,,,none
30,L14_F129011,14,early,,,none
30,L15_F127839,15,early,0.0625,-0.0625,ablation_zero
30,L16_F45664,16,early,0.7362470626831055,-0.7362470626831055,ablation_zero
30,L16_F76227,16,early,,,none
30,L17_F111317,17,mid,0.3561077117919922,-0.3561077117919922,ablation_zero
30,L17_F51924,17,mid,,,none
30,L18_F149556,18,mid,-0.1875,0.1875,ablation_zero
30,L18_F27853,18,mid,,,none
30,L19_F29102,19,mid,,,none
30,L20_F36426,20,mid,,,none
30,L21_F54492,21,mid,,,none
30,L22_F32734,22,mid,,,none
30,L22_F78043,22,mid,0.9375,-0.9375,ablation_zero
30,L23_F40170,23,late,0.3125,-0.3125,ablation_zero
30,L23_F6889,23,late,0.3125,-0.3125,ablation_zero
30,L24_F35447,24,late,0.5,-0.5,ablation_zero
30,L25_F43384,25,late,-0.3125,0.3125,ablation_zero
30,L25_F54011,25,late,-0.1114101409912109,0.1114101409912109,ablation_zero
30,L25_F90133,25,late,-0.25,0.25,ablation_zero
31,L13_F63127,13,early,,,none
31,L14_F129011,14,early,,,none
31,L15_F127839,15,early,1.71875,-1.71875,ablation_zero
31,L16_F45664,16,early,1.3241477012634275,-1.3241477012634275,ablation_zero
31,L16_F76227,16,early,,,none
31,L17_F111317,17,mid,0.8625502586364746,-0.8625502586364746,ablation_zero
31,L17_F51924,17,mid,,,none
