cluster_id,top_k,metadata_field,metadata_value,observed_count,expected_count,observed_fraction,expected_fraction,lift,log_odds,cluster_abs_mass_covered,fisher_pval,rank_within_field
0,75,evidence_completeness,single,59,60.957,0.7867,0.8128,0.9679,-0.0326,0.3277,0.78872,3
0,75,evidence_completeness,combination,13,11.489,0.1733,0.1532,1.1315,0.1235,0.3277,0.353,2
0,75,evidence_completeness,full,3,2.553,0.04,0.034,1.175,0.1613,0.3277,0.4838,1
0,100,evidence_completeness,single,80,81.277,0.8,0.8128,0.9843,-0.0158,0.4111,0.70047,2
0,100,evidence_completeness,combination,17,15.319,0.17,0.1532,1.1097,0.1041,0.4111,0.34931,1
0,100,evidence_completeness,full,3,3.404,0.03,0.034,0.8812,-0.1264,0.4111,0.69778,3
1,10,correct_answer,beta,7,4.979,0.7,0.4979,1.406,0.3407,0.0862,0.16576,1
1,10,correct_answer,alpha,3,5.021,0.3,0.5021,0.5975,-0.5151,0.0862,0.94864,2
1,20,correct_answer,beta,13,9.957,0.65,0.4979,1.3056,0.2666,0.1463,0.12237,1
1,20,correct_answer,alpha,7,10.043,0.35,0.5021,0.697,-0.3609,0.1463,0.94831,2
1,30,correct_answer,beta,20,14.936,0.6667,0.4979,1.339,0.2919,0.2012,0.04179,1
1,30,correct_answer,alpha,10,15.064,0.3333,0.5021,0.6638,-0.4097,0.2012,0.98287,2
1,50,correct_answer,beta,34,24.894,0.68,0.4979,1.3658,0.3117,0.2962,0.00474,1
1,50,correct_answer,alpha,16,25.106,0.32,0.5021,0.6373,-0.4505,0.2962,0.99815,2
1,75,correct_answer,beta,47,37.34,0.6267,0.4979,1.2587,0.2301,0.3978,0.01031,1
1,75,correct_answer,alpha,28,37.66,0.3733,0.5021,0.7435,-0.2964,0.3978,0.99492,2
1,100,correct_answer,beta,66,49.787,0.66,0.4979,1.3256,0.2819,0.4861,0.00018,1
1,100,correct_answer,alpha,34,50.213,0.34,0.5021,0.6771,-0.3899,0.4861,0.99993,2
1,10,level,3,4,1.702,0.4,0.1702,2.35,0.8544,0.0862,0.0723,1
1,10,level,2,3,3.702,0.3,0.3702,0.8103,-0.2103,0.0862,0.78262,3
1,10,level,1,2,3.404,0.2,0.3404,0.5875,-0.5319,0.0862,0.90641,4
1,10,level,AUX,1,1.191,0.1,0.1191,0.8393,-0.1752,0.0862,0.72246,2
1,20,level,3,11,3.404,0.55,0.1702,3.2313,1.1729,0.1463,8e-05,1
1,20,level,2,5,7.404,0.25,0.3702,0.6753,-0.3926,0.1463,0.919,2
1,20,level,1,3,6.809,0.15,0.3404,0.4406,-0.8196,0.1463,0.98653,3
1,20,level,AUX,1,2.383,0.05,0.1191,0.4196,-0.8684,0.1463,0.92526,4
1,30,level,3,16,5.106,0.5333,0.1702,3.1333,1.1421,0.2012,0.0,1
1,30,level,2,9,11.106,0.3,0.3702,0.8103,-0.2103,0.2012,0.84596,2
1,30,level,1,4,10.213,0.1333,0.3404,0.3917,-0.9373,0.2012,0.99798,3
1,30,level,AUX,1,3.574,0.0333,0.1191,0.2798,-1.2738,0.2012,0.9805,4
1,50,level,3,24,8.511,0.48,0.1702,2.82,1.0367,0.2962,0.0,1
1,50,level,2,15,18.511,0.3,0.3702,0.8103,-0.2103,0.2962,0.89429,2
1,50,level,1,9,17.021,0.18,0.3404,0.5287,-0.6372,0.2962,0.99757,3
1,50,level,AUX,2,5.957,0.04,0.1191,0.3357,-1.0915,0.2962,0.98959,4
1,75,level,3,28,12.766,0.3733,0.1702,2.1933,0.7854,0.3978,0.0,1
1,75,level,2,23,27.766,0.3067,0.3702,0.8284,-0.1883,0.3978,0.91649,2
1,75,level,1,19,25.532,0.2533,0.3404,0.7442,-0.2955,0.3978,0.97124,3
1,75,level,AUX,5,8.936,0.0667,0.1191,0.5595,-0.5807,0.3978,0.96535,4
1,100,level,3,32,17.021,0.32,0.1702,1.88,0.6313,0.4861,2e-05,1
1,100,level,1,32,34.043,0.32,0.3404,0.94,-0.0619,0.4861,0.7257,2
1,100,level,2,28,37.021,0.28,0.3702,0.7563,-0.2793,0.4861,0.98783,3
1,100,level,AUX,8,11.915,0.08,0.1191,0.6714,-0.3983,0.4861,0.94296,4
1,10,cue_label,lepton_family,2,0.17,0.2,0.017,11.75,2.4639,0.0862,0.01067,1
1,10,cue_label,heavy_nuclear_fragment,1,0.128,0.1,0.0128,7.8333,2.0584,0.0862,0.12167,2
