cluster_id,metadata_field,metadata_value,weighted_mass,weighted_fraction,global_fraction,weighted_lift,weighted_log_odds,weighted_rank_within_field
0,inference_steps,2,0.0,0.0,0.0,,0.0,
0,inference_steps,3,0.0,0.0,0.0,,0.0,
0,inference_steps,4,0.0,0.0,0.0,,0.0,
0,inference_steps,5,0.0,0.0,0.0,,0.0,
0,inference_steps,1,0.0,0.0,0.0,,0.0,
0,cue_type,emitted_2neutrons,1.4375,0.0115,0.01702,0.6757,-0.3921,10
0,cue_type,emitted_charge_minus1,3.875,0.031,0.02553,1.2142,0.1941,3
0,cue_type,emitted_mass4,1.5875,0.0127,0.02553,0.4974,-0.6983,12
0,cue_type,daughter_n_minus1,2.1875,0.0175,0.01702,1.0282,0.0278,6
0,cue_type,emitted_2protons,1.5375,0.0123,0.01702,0.7227,-0.3248,9
0,cue_type,antineutrino_emitted,2.7375,0.0219,0.02128,1.0294,0.0289,5
0,cue_type,daughter_a_unchanged,1.9625,0.0157,0.02553,0.6149,-0.4862,11
0,cue_type,daughter_z_plus1,4.4875,0.0359,0.02553,1.4062,0.3409,1
0,cue_type,daughter_z_minus2,4.025,0.0322,0.02553,1.2612,0.2321,2
0,cue_type,emitted_mass_negligible,1.7125,0.0137,0.01702,0.8049,-0.217,8
0,cue_type,daughter_a_minus4,2.4375,0.0195,0.02128,0.9165,-0.0871,7
0,cue_type,emitted_charge_plus2,3.7,0.0296,0.02553,1.1594,0.1479,4
0,physics_concept,beta_decay,69.8185,0.55858,0.49787,1.1219,0.115,1
0,physics_concept,alpha_decay,55.1754,0.44142,0.50213,0.8791,-0.1288,2
0,keyword_free,False,11.2501,0.09001,0.08511,1.0576,0.056,1
0,keyword_free,True,113.7438,0.90999,0.91489,0.9946,-0.0054,2
0,keyword_free,False,0.0,0.0,0.0,,0.0,
0,keyword_free,True,0.0,0.0,0.0,,0.0,
0,evidence_completeness,single,101.8875,0.81514,0.81277,1.0029,0.0029,1
0,evidence_completeness,combination,19.1939,0.15356,0.15319,1.0024,0.0024,2
0,evidence_completeness,full,3.9125,0.0313,0.03404,0.9195,-0.0839,3
1,correct_answer,beta,37.9532,0.5798,0.49787,1.1645,0.1523,1
1,correct_answer,alpha,27.5063,0.4202,0.50213,0.8368,-0.1781,2
1,level,2,23.3905,0.35733,0.37021,0.9652,-0.0354,2
1,level,3,15.093,0.23057,0.17021,1.3546,0.3035,1
1,level,AUX,6.195,0.09464,0.11915,0.7943,-0.2303,4
1,level,1,20.781,0.31746,0.34043,0.9325,-0.0698,3
1,cue_label,z_plus1_a_unchanged,0.7969,0.01217,0.02128,0.5722,-0.5583,32
1,cue_label,emitted_2neutrons,1.0625,0.01623,0.01702,0.9536,-0.0475,21
1,cue_label,emitted_charge_minus1,2.422,0.037,0.02553,1.4492,0.371,7
1,cue_label,n_to_p_with_antineutrino,1.3361,0.02041,0.01702,1.1992,0.1816,10
1,cue_label,muon_family,1.3438,0.02053,0.01277,1.6081,0.475,5
1,cue_label,emitted_mass4,1.1563,0.01766,0.02553,0.6919,-0.3684,28
1,cue_label,composition_plus_daughter,0.6562,0.01002,0.01702,0.5889,-0.5294,31
1,cue_label,emitted_2protons,0.7968,0.01217,0.01702,0.7151,-0.3353,26
1,cue_label,full_beta_process_spec,1.0857,0.01659,0.01702,0.9744,-0.0259,19
1,cue_label,charge_plus_mass,1.1406,0.01742,0.02128,0.819,-0.1997,23
1,cue_label,heavy_nuclear_fragment,1.5467,0.02363,0.01277,1.8509,0.6157,3
1,cue_label,daughter_a_minus4,0.7813,0.01194,0.02128,0.561,-0.5781,33
1,cue_label,helium4_equivalence,1.1875,0.01814,0.01702,1.0658,0.0637,15
1,cue_label,composition_2p2n,1.0157,0.01552,0.02128,0.7293,-0.3157,24
1,cue_label,n_to_p_plus_z_plus1,1.203,0.01838,0.01702,1.0797,0.0767,14
1,cue_label,composite_nuclear_object,1.3983,0.02136,0.01702,1.255,0.2271,9
1,cue_label,full_emitted_alpha_spec,1.2579,0.01922,0.01702,1.129,0.1213,11
1,cue_label,charge_plus_a_unchanged,0.3281,0.00501,0.01277,0.3926,-0.9349,36
1,cue_label,daughter_n_minus1,0.6875,0.0105,0.01702,0.617,-0.4828,30
1,cue_label,z_plus1_with_antineutrino,1.9376,0.0296,0.01702,1.739,0.5533,4
1,cue_label,antineutrino_emitted,1.9373,0.0296,0.02128,1.391,0.33,8
1,cue_label,neutron_to_proton,1.4063,0.02148,0.02128,1.0097,0.0097,16
1,cue_label,mass_plus_daughter_a,1.25,0.0191,0.01702,1.1219,0.115,12
1,cue_label,narrative_ejection,0.6094,0.00931,0.01277,0.7292,-0.3157,25
1,cue_label,charge_plus_z_change,1.1249,0.01718,0.01702,1.0096,0.0096,17
1,cue_label,daughter_a_unchanged,1.1875,0.01814,0.02553,0.7105,-0.3418,27
